item_id,bucket,wins,losses,matches,players,avg_buy_time_s,avg_sell_time_s,avg_buy_time_relative,avg_sell_time_relative,hero_id,matches_per_player,win_rate,sell_minus_buy_s,hero_name,item_name,type
3190916303,0,651,682,1333,968,1488.5851462865717,2223.464912280702,62.690381226621334,79.5567838376652,1,1.3770661157024793,0.4883720930232558,734.8797659941301,Infernus,Spirit Snatch,upgrade
3261353684,0,13708,11899,25607,14328,1684.8016167454211,2150.408111908815,68.50405349795142,80.62225223956834,1,1.7871998883305416,0.5353223727886905,465.6064951633939,Infernus,Superior Cooldown,upgrade
3270001687,0,40543,36767,77310,36822,1492.3524382356745,2287.0501113585747,64.11928470583823,81.16009545778077,1,2.099560045624898,0.5244211615573664,794.6976731229001,Infernus,Warp Stone,upgrade
3294954488,0,403,442,845,629,1634.298224852071,2445.348484848485,65.76682146297384,83.3390443410738,1,1.343402225755167,0.47692307692307695,811.0502599964141,Infernus,Ballistic Enchantment,upgrade
3331811235,0,628,770,1398,819,982.4685264663806,1359.9021352313168,42.4642554554693,56.394562519917514,1,1.706959706959707,0.4492131616595136,377.43360876493625,Infernus,Long Range,upgrade
3357231760,0,16326,15499,31825,19492,2255.18793401414,2506.512,84.01732013851812,87.16191443702387,1,1.6327211163554278,0.51299293008641,251.32406598586022,Infernus,Unstoppable,upgrade
3361075077,0,758,1133,1891,1478,1405.8514013749339,2069.8576779026216,60.27272647469385,78.90056305058846,1,1.2794316644113668,0.4008461131676362,664.0062765276878,Infernus,Return Fire,upgrade
3361811174,0,3138,2505,5643,3803,2484.5878079035974,2832.1744186046512,85.5579928792287,90.40682284957722,1,1.48382855640284,0.5560871876661351,347.5866107010538,Infernus,Cheat Death,upgrade
3399065363,0,76943,72979,149922,64276,1014.9582783047184,1168.2571868794084,44.565103860078324,50.99142458904315,1,2.332472462505445,0.5132202078414109,153.29890857469002,Infernus,Sprint Boots,upgrade
3403085434,0,1907,2117,4024,1893,1024.930666003976,2245.3797709923665,45.04062636598602,80.38433631912363,1,2.125726360274696,0.4739065606361829,1220.4491049883904,Infernus,Fleetfoot,upgrade
3491236900,0,8871,9351,18222,13403,2303.9627922291734,2594.7584650112867,84.02951906378583,87.66284293052108,1,1.3595463702156234,0.4868291076720448,290.79567278211334,Infernus,Plated Armor,upgrade
3577481646,0,2337,1764,4101,2405,2276.3035844915876,2744.4868421052633,81.28816122698969,87.30761444995312,1,1.7051975051975052,0.5698610095098756,468.1832576136758,Infernus,Mystic Reverb,upgrade
